codigo_escola;ano;anos_escolares;ideb;indicador_rendimento;nota_saeb_matematica;nota_saeb_lingua_portuguesa;nota_saeb_media_padronizada
35000197;2015;anos_finais;4.2;0.88547802;246.92;239.46;4.7729998
35000197;2017;anos_finais;;0.94029802;;;
35000197;2019;anos_finais;;0.97236401;;;
35000197;2021;anos_finais;4.9;0.992589;245.88;250.45;4.938833
35000197;2023;anos_finais;5.2;0.972586;257.71;261.07;5.313
35000197;2017;todos (1-4);;0.85313201;;;
35000197;2019;todos (1-4);;0.86656803;;;
35000197;2021;todos (1-4);;0.896801;;;
35000197;2023;todos (1-4);3.7;0.839144;254.89;274.74;4.382304
35000206;2015;anos_iniciais;6.3;0.98978603;231.25;216.8;6.3190389
35000206;2017;anos_iniciais;6.4;0.96890998;235.69;227.3;6.5946808
35000206;2019;anos_iniciais;6.5;0.98655403;239.44;221.35;6.558064
35000206;2021;anos_iniciais;6.4;0.99638;231.98;221.92;6.426061
35000206;2023;anos_iniciais;6.8;0.996582;247.69;229.31;6.860234
35000218;2017;todos (1-4);;0.84061903;;;
35000218;2019;todos (1-4);;0.79900801;;;
35000218;2021;todos (1-4);;0.865476;;;
