codigo_escola;codigo_escola_mec;nome_escola;distrito;bairro;municipio;diretoria;localizacao;cep;latitude;longitude;nivel_socioeconomico;tratamento_cmsp;tratamento_cmsp_periodo;tratamento_cmsp_intensidade;ano_primeiro_cmsp_real;g_cmsp;grupo_cmsp
914769;35914769;MIQUELINA PEDROSO MAGNANI PROFESSORA;SANTO ANDRE;PARQUE ANDREENSE;SANTO ANDRE;SANTO ANDRE;Urbana;9161405;-23.75983047;-46.45709991;5,19;1;2020-05-27;63346896;2020;2021;tratada_cmsp
914782;35914782;DONIZETTI APARECIDO LEITE PROFESSOR;EMBU-GUACU;ITORORO;EMBU-GUACU;ITAPECERICA DA SERRA;Urbana;6933220;-23.88220978;-46.79290009;5,1;1;2020-05-27;153356999;2020;2021;tratada_cmsp
914794;35914794;EURICO DA SILVA BASTOS DOUTOR PROFESSOR;ITAPECERICA DA SERRA;PARQUE PARAISO;ITAPECERICA DA SERRA;ITAPECERICA DA SERRA;Urbana;6850290;-23.70074272;-46.8548584;5,28;1;2020-05-27;15524274;2020;2021;tratada_cmsp
914800;35914800;ADALBERTO MECCA SAMPAIO PROFESSOR;CARAPICUIBA;CHACARA QUIRIRI;CARAPICUIBA;CARAPICUIBA;Urbana;6341000;-23.57003975;-46.82584;5,17;1;2020-05-27;221998495;2020;2021;tratada_cmsp
914812;35914812;MANOEL DE MELO MISSIONARIO;PARQUE DO CARMO;JARDIM NOSSA SENHORA DO CARMO;SAO PAULO;LESTE 4;Urbana;8280540;-23.5651;-46.4704;5,48;1;2020-05-27;65721085;2020;2021;tratada_cmsp
914824;35914824;PASQUALE FILIPPELLI PADRE;PEDREIRA;GUACURI;SAO PAULO;SUL 1;Urbana;4475350;-23.70022011;-46.6362915;5,09;1;2020-05-27;92749122;2020;2021;tratada_cmsp
914836;35914836;RENE MUAWAD PRESIDENTE;GRAJAU;PARQUE AMERICA;SAO PAULO;SUL 3;Urbana;4841000;-23.73509979;-46.68999863;5,11;1;2020-05-27;39795863;2020;2021;tratada_cmsp
914848;35914848;LEVI PEREIRA MARTINS PROFESSOR;EMBU-GUACU;PENTEADO;EMBU-GUACU;ITAPECERICA DA SERRA;Urbana;6924300;-23.92186546;-46.86916351;4,79;1;2020-05-28;25591190;2020;2021;tratada_cmsp
914859;35914859;ANDREI SAKHAROV;CARAPICUIBA;COHAB I;CARAPICUIBA;CARAPICUIBA;Urbana;6327270;-23.5265;-46.8294;4,97;1;2020-05-27;44480356;2020;2021;tratada_cmsp
914873;35914873;UACURY RIBEIRO DE ASSIS BASTOS PROFESSOR;CAMPINAS LESTE;JARDIM MONTE BELO;CAMPINAS;CAMPINAS LESTE;Urbana;13098879;-22.76170921;-46.98376083;4,94;1;2020-05-27;8988641;2020;2021;tratada_cmsp
914885;35914885;SERGIO PEREIRA PORTO FISICO;CAMPINAS LESTE;CIDADE UNIVERSITARIA;CAMPINAS;CAMPINAS LESTE;Urbana;13083891;-22.82733917;-47.06145859;5,72;1;2020-05-27;118350283;2020;2021;tratada_cmsp
914897;35914897;FRANCISCO DE ASSIS;CAMPINAS OESTE;VILA PALMEIRAS II;CAMPINAS;CAMPINAS OESTE;Urbana;13053221;-23.03095055;-47.10451889;5,21;1;2020-05-27;74308593;2020;2021;tratada_cmsp
914915;35914915;MARIA GERTRUDES CARDOSO REBELLO IRMA;LIMEIRA;PARQUE NOSSA SENHORA DAS DORES;LIMEIRA;LIMEIRA;Urbana;13483083;-22.5676403;-47.45127106;5,28;1;2020-05-27;-192132693;2020;2021;tratada_cmsp
914927;35914927;DORIVALDO DAMM PROFESSOR;LIMEIRA;BAIRRO DO PINHAL;LIMEIRA;LIMEIRA;Rural;13480970;-22.53786087;-47.28007126;5,5;1;2020-05-27;311138931;2020;2021;tratada_cmsp
914940;35914940;SAVINO CAMPIGLI;NOVA VENEZA;JARDIM DALLORTO;SUMARE;SUMARE;Urbana;13178101;-22.7966404;-47.2206192;5,49;1;2020-05-27;90280510;2020;2021;tratada_cmsp
914988;35914988;ORLANDO PEREZ PROFESSOR;SAO CARLOS;CIDADE ARACY;SAO CARLOS;SAO CARLOS;Urbana;13573108;-22.0591507;-47.90369034;5,06;1;2020-05-27;154357723;2020;2021;tratada_cmsp
